Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,04-Feb-2025,27-Mar-2025,50100.00,50693.00,50100.00,50643.40,50660.00,50643.40,6720.00,101689.96,328080.00,7290.00,-
BANKNIFTY,04-Feb-2025,24-Apr-2025,50260.95,51001.20,50260.95,50969.65,50990.55,50969.65,1618.00,24626.00,27780.00,8520.00,-
BANKNIFTY,05-Feb-2025,27-Feb-2025,50455.30,50688.60,50380.00,50531.10,50495.00,50531.10,40211.00,609979.20,2628150.00,-83880.00,50343.05
BANKNIFTY,05-Feb-2025,27-Mar-2025,50801.00,51019.20,50713.30,50880.90,50840.00,50880.90,5252.00,80192.96,380610.00,52530.00,50343.05
BANKNIFTY,05-Feb-2025,24-Apr-2025,51022.25,51320.00,51022.10,51182.15,51150.00,51182.15,1064.00,16346.60,32580.00,4800.00,50343.05
BANKNIFTY,06-Feb-2025,27-Feb-2025,50500.00,50710.05,50351.00,50608.70,50634.00,50608.70,38198.00,578942.27,2569140.00,-59010.00,50382.10
BANKNIFTY,06-Feb-2025,27-Mar-2025,50880.90,51013.70,50700.00,50948.45,50966.00,50948.45,3831.00,58440.68,424350.00,43740.00,50382.10
BANKNIFTY,06-Feb-2025,24-Apr-2025,51150.00,51300.00,51021.00,51264.95,51286.45,51264.95,876.00,13448.91,36990.00,4410.00,50382.10
BANKNIFTY,07-Feb-2025,27-Feb-2025,50630.50,50798.70,50070.30,50354.55,50381.00,50354.55,86067.00,1301689.79,2630310.00,61170.00,50158.85
BANKNIFTY,07-Feb-2025,27-Mar-2025,51011.00,51130.00,50413.40,50690.25,50706.55,50690.25,5965.00,90810.13,458430.00,34080.00,50158.85
BANKNIFTY,07-Feb-2025,24-Apr-2025,51265.00,51445.60,50760.00,51019.90,51058.80,51019.90,1711.00,26209.50,34830.00,-2160.00,50158.85
BANKNIFTY,10-Feb-2025,27-Feb-2025,50280.00,50347.00,49902.25,50234.15,50220.00,50234.15,39340.00,591542.32,2696700.00,66390.00,49981.00
BANKNIFTY,10-Feb-2025,27-Mar-2025,50685.50,50690.25,50251.00,50552.65,50550.00,50552.65,5076.00,76849.12,526410.00,67980.00,49981.00
BANKNIFTY,10-Feb-2025,24-Apr-2025,51239.25,51239.25,50600.00,50898.50,50890.50,50898.50,957.00,14580.60,40650.00,5820.00,49981.00
BANKNIFTY,11-Feb-2025,27-Feb-2025,50190.00,50190.00,49425.00,49681.75,49585.00,49681.75,61370.00,915547.07,3096000.00,399300.00,49403.40
BANKNIFTY,11-Feb-2025,27-Mar-2025,50430.00,50440.60,49750.00,50007.15,49885.25,50007.15,11105.00,166678.35,672750.00,146340.00,49403.40
BANKNIFTY,11-Feb-2025,24-Apr-2025,50601.40,50794.65,50110.55,50326.60,50260.00,50326.60,1304.00,19721.59,48660.00,8010.00,49403.40
BANKNIFTY,12-Feb-2025,27-Feb-2025,49550.00,49930.00,48966.00,49716.50,49735.00,49716.50,73054.00,1084572.64,3018990.00,-77010.00,49479.45
BANKNIFTY,12-Feb-2025,27-Mar-2025,49917.65,50225.00,49300.25,50006.00,50052.00,50006.00,7330.00,109417.14,706530.00,33780.00,49479.45
BANKNIFTY,12-Feb-2025,24-Apr-2025,50103.95,50562.30,49650.00,50368.35,50387.20,50368.35,2382.00,35803.32,56640.00,7980.00,49479.45
BANKNIFTY,13-Feb-2025,27-Feb-2025,49735.00,50025.00,49451.05,49571.40,49530.05,49571.40,45524.00,679383.58,3068430.00,49440.00,49359.85
BANKNIFTY,13-Feb-2025,27-Mar-2025,50006.05,50315.00,49780.00,49878.45,49842.65,49878.45,4373.00,65649.72,718140.00,11610.00,49359.85
BANKNIFTY,13-Feb-2025,24-Apr-2025,50483.55,50655.00,50125.00,50221.05,50181.00,50221.05,1214.00,18351.76,59940.00,3300.00,49359.85
