Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,16-Jul-2024,25-Sep-2024,53077.45,53172.00,52930.10,53007.65,53022.75,53007.65,1279.00,10173.78,65445.00,1755.00,52396.80
BANKNIFTY,18-Jul-2024,31-Jul-2024,52431.95,52835.00,52282.15,52670.35,52655.30,52670.35,173359.00,1367319.70,2070405.00,-14265.00,52620.70
BANKNIFTY,18-Jul-2024,28-Aug-2024,52695.05,52978.00,52465.20,52829.90,52824.75,52829.90,16409.00,129815.68,326100.00,25110.00,52620.70
BANKNIFTY,18-Jul-2024,25-Sep-2024,52850.75,53245.15,52777.10,53108.90,53105.00,53108.90,3411.00,27143.18,68880.00,3435.00,52620.70
BANKNIFTY,19-Jul-2024,31-Jul-2024,52535.00,52640.00,52131.95,52270.65,52250.00,52270.65,147765.00,1160243.55,1946745.00,-123660.00,52265.60
BANKNIFTY,19-Jul-2024,28-Aug-2024,52779.35,52779.35,52330.90,52459.75,52439.00,52459.75,16443.00,129557.76,367260.00,41160.00,52265.60
BANKNIFTY,19-Jul-2024,25-Sep-2024,53198.85,53199.00,52644.05,52753.75,52750.00,52753.75,3215.00,25480.40,67575.00,-1305.00,52265.60
BANKNIFTY,22-Jul-2024,31-Jul-2024,52100.00,52435.35,51932.25,52286.55,52308.00,52286.55,106225.00,832304.54,1796625.00,-150120.00,52280.40
BANKNIFTY,22-Jul-2024,28-Aug-2024,52385.95,52610.00,52151.20,52484.00,52510.00,52484.00,18205.00,143168.09,419610.00,52350.00,52280.40
BANKNIFTY,22-Jul-2024,25-Sep-2024,52675.00,52880.45,52444.00,52753.85,52760.00,52753.85,2126.00,16813.74,73170.00,5595.00,52280.40
BANKNIFTY,23-Jul-2024,31-Jul-2024,52405.30,52462.75,51411.00,51818.20,51765.00,51818.20,260609.00,2029956.49,1612470.00,-184155.00,51778.30
BANKNIFTY,23-Jul-2024,28-Aug-2024,52519.95,52666.00,51663.70,52042.45,52010.00,52042.45,76443.00,597930.67,594765.00,175155.00,51778.30
BANKNIFTY,23-Jul-2024,25-Sep-2024,52750.00,52930.00,52000.00,52332.65,52300.00,52332.65,8188.00,64391.34,79350.00,6180.00,51778.30
BANKNIFTY,24-Jul-2024,31-Jul-2024,51611.15,51974.85,50921.00,51401.10,51480.00,51401.10,249833.00,1926076.66,1334955.00,-277515.00,51317.00
BANKNIFTY,24-Jul-2024,28-Aug-2024,51700.00,52185.45,51151.20,51596.35,51680.00,51596.35,141063.00,1090685.22,1130940.00,536175.00,51317.00
BANKNIFTY,24-Jul-2024,25-Sep-2024,52255.00,52465.70,51500.00,51929.00,51990.00,51929.00,9221.00,71784.61,98550.00,19200.00,51317.00
BANKNIFTY,25-Jul-2024,31-Jul-2024,50966.00,51104.95,50601.00,50934.20,50918.00,50934.20,112471.00,857836.47,1208910.00,-126045.00,50888.75
BANKNIFTY,25-Jul-2024,28-Aug-2024,51150.40,51300.00,50900.00,51165.10,51150.00,51165.10,118389.00,907430.40,1847235.00,716295.00,50888.75
BANKNIFTY,25-Jul-2024,25-Sep-2024,51550.00,51629.05,51231.05,51472.20,51468.00,51472.20,7850.00,60562.09,122760.00,24210.00,50888.75
BANKNIFTY,26-Jul-2024,31-Jul-2024,50650.00,51389.00,50605.00,51299.10,51318.00,51299.10,135422.00,1036813.12,1158285.00,-50625.00,51295.95
BANKNIFTY,26-Jul-2024,28-Aug-2024,50990.00,51599.90,50900.00,51512.70,51515.00,51512.70,80358.00,617756.37,1937655.00,90420.00,51295.95
BANKNIFTY,26-Jul-2024,25-Sep-2024,51398.05,51899.85,51206.55,51812.35,51820.00,51812.35,5969.00,46167.79,135615.00,12855.00,51295.95
BANKNIFTY,29-Jul-2024,31-Jul-2024,51557.50,52381.75,51240.25,51384.85,51400.00,51384.85,192011.00,1490368.11,984720.00,-173565.00,-
BANKNIFTY,29-Jul-2024,28-Aug-2024,51589.00,52514.90,51515.00,51653.85,51664.25,51653.85,186370.00,1452664.44,1916625.00,-21030.00,-
BANKNIFTY,29-Jul-2024,25-Sep-2024,51841.20,52784.50,51809.05,51960.35,51980.00,51960.35,13848.00,108605.77,151335.00,15720.00,-
BANKNIFTY,30-Jul-2024,31-Jul-2024,51349.00,51938.00,51226.70,51520.30,51472.70,51520.30,118698.00,918969.71,853245.00,-131475.00,51499.30
BANKNIFTY,30-Jul-2024,28-Aug-2024,51603.80,52109.20,51523.80,51770.55,51700.00,51770.55,99312.00,772326.67,1933440.00,16815.00,51499.30
BANKNIFTY,30-Jul-2024,25-Sep-2024,51900.05,52394.15,51842.50,52075.80,52015.00,52075.80,6398.00,50034.05,155820.00,4485.00,51499.30
BANKNIFTY,31-Jul-2024,31-Jul-2024,51520.35,51657.00,51307.30,51527.45,51550.70,51553.40,91055.00,703135.24,821040.00,-32205.00,51553.40
BANKNIFTY,31-Jul-2024,28-Aug-2024,51771.00,51887.00,51589.40,51815.05,51858.00,51815.05,114111.00,885692.31,2415720.00,482280.00,51553.40
BANKNIFTY,31-Jul-2024,25-Sep-2024,52015.00,52165.00,51903.00,52110.15,52163.85,52110.15,6224.00,48588.65,175095.00,19275.00,51553.40
BANKNIFTY,01-Aug-2024,28-Aug-2024,51990.00,52080.00,51635.00,51753.40,51773.00,51753.40,114021.00,887091.38,2499285.00,83565.00,51564.00
