Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
25-Jul-25,ULTRACEMCO,12250,12226.5,  0.0019,  0.0141,  0.0141,  0.2688,12244,12237,  0.0006,  0.0136,  0.0136,  0.2599,  0.0141,  0.2688
25-Jul-25,UNIONBANK,136.22,140.22, -0.0289,  0.0239,  0.0240,  0.4580,136.27,140.24, -0.0287,  0.0241,  0.0242,  0.4616,  0.0242,  0.4616
25-Jul-25,UNITDSPR,1309.6,1335.2, -0.0194,  0.0157,  0.0158,  0.3010,1310.5,1338.7, -0.0213,  0.0155,  0.0155,  0.2966,  0.0158,  0.3010
25-Jul-25,UNOMINDA,1085.1,1081,  0.0038,  0.0227,  0.0227,  0.4332,1084.2,1083.3,  0.0008,  0.0228,  0.0227,  0.4338,  0.0227,  0.4338
25-Jul-25,UPL,722.2,726.55, -0.0060,  0.0176,  0.0176,  0.3362,723.85,726.5, -0.0037,  0.0179,  0.0179,  0.3416,  0.0179,  0.3416
25-Jul-25,VBL,477.15,486, -0.0184,  0.0212,  0.0212,  0.4044,476.85,485.95, -0.0189,  0.0211,  0.0211,  0.4026,  0.0212,  0.4044
25-Jul-25,VEDL,443.55,451.35, -0.0174,  0.0212,  0.0212,  0.4045,443.8,452.6, -0.0196,  0.0215,  0.0214,  0.4097,  0.0214,  0.4097
25-Jul-25,VOLTAS,1315.6,1344, -0.0214,  0.0209,  0.0209,  0.3991,1316.4,1346.8, -0.0228,  0.0205,  0.0205,  0.3919,  0.0209,  0.3991
25-Jul-25,WIPRO,259.2,261.85, -0.0102,  0.0170,  0.0170,  0.3243,251.5,256.05, -0.0179,  0.0169,  0.0169,  0.3221,  0.0170,  0.3243
25-Jul-25,YESBANK,19.6,20.01, -0.0207,  0.0234,  0.0234,  0.4475,19.61,20.04, -0.0217,  0.0234,  0.0234,  0.4476,  0.0234,  0.4476
25-Jul-25,ZYDUSLIFE,976.45,960.25,  0.0167,  0.0158,  0.0158,  0.3024,976.35,961.65,  0.0152,  0.0160,  0.0160,  0.3054,  0.0160,  0.3054
